RegionName,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12
California,1619,1664,1665,1675,1695,1700,1700,1730,1750,1750,1791,1795
Texas,929,929,915,944,946.5,950,959,965,977,976.5,1040,1039
New York,2100,2171,2195,2250,2300,2200,2150,2200,2200,2150,2100,2100
Florida,1045,1100,1125,1100,1162,1200,1300,1350,1300,1350,1300,1316.5
Illinois,1425,1550,1375,1369,1395,1375,1350,1350,1495,1550,1650,1585
Pennsylvania,875,880,910,975,965,935.5,925,935,905,900,950,950
Ohio,595,600,627,625,649,625,620,615,600,595,635,658
Michigan,675,652.5,675,700,700,700,650,650,650,700,730,735
Georgia,950,960,960,969,1000,1026,1001,1025,1019,1010.5,1109,1122
North Carolina,790,800,800,800,820,829,825,855,860,860,939,919
New Jersey,1350,1389,1350,1350,1350,1350,1350,1365,1350,1350,1400,1410
Virginia,1360,1400,1390.5,1385,1375,1399.5,1400,1400,1395,1355.5,1379,1365
Washington,1365,1438,1423,1395,1399.5,1420,1450,1475,1481.5,1460,1370,1475
Massachusetts,1935,1925,1925,1950,1950,1950,1975,1995,1995,1995,1975,1975
Indiana,595,600,610,649,639,635,615,600,640,645,675,675
Arizona,695,702,729,755,750,759,750,750,775,770.5,781,870
Tennessee,766,740,790,805,815,800,815,829,875,874,859,876
Missouri,625,625,650,625,650,675,671,675,675,665,676,661.5
Maryland,1239,1250,1300,1310,1305,1303.5,1302.5,1315,1300,1300,1350,1344
Wisconsin,955,947.5,890,850,805,875,838.5,818.5,815,795,775,765
Minnesota,945,955,950,955,960,999,1000,1040,1075,1030,1105,1130
Colorado,1203,1250,1225,1228,1242,1275,1275,1300,1305,1277,1300,1309
Alabama,650,600,637,649,625,641,649,650,650,659.5,709,725
South Carolina,818,850,850,825,842.5,869,850,865,875,869,865,850
Louisiana,799,769,885,950,975,949,895,925,900,850,875,869
Kentucky,675,657.5,684,695,719,719,695,697,699,680,727,707.5
Oregon,950,950,920,900,925,950,1073.5,1123,1162,1200,1375,1343
Connecticut,1050,1100,1150,1150,1140,1150,1195,1200,1200,1195,1237.5,1225
Iowa,595,625,625,625,645,645,627.5,610,625,595,651,650
Mississippi,635,605,627.5,627.5,595,635,632.5,630,595,575,575,575
Arkansas,560,525,540,579,575,550,570,567.5,575,600,615,613.5
Kansas,616,625,632,632,628,647.5,625,610,625,624.5,650,614
Utah,680,699,700,710,701.5,715.5,741.5,750,759,799,800,810
Nevada,700,740,750,750,749.5,750,775,780,775.5,750,814.5,849.5
New Mexico,585,590,575,575,625,630,650,634,647.5,634,634,658
West Virginia,575,590,592.5,575,600,600,555,575,582.5,600,600,600
Nebraska,715,730,742.5,730,730,735,730,750,750,735,740,757.5
Idaho,550,552.5,550,550,550,550,595,565,550,595,577.5,580
Hawaii,1700,1700,1700,1700,1700,1700,1775,1700,1650,1650,1647.5,1650
Maine,895,945,952.5,925,962.5,925,897.5,895,885,850,995,900
New Hampshire,879,875,895,895,890,895,900,895,889.5,882,890,875
Rhode Island,1000,1049,1095,1100,1100,1095,1069,1067,1050,1000,1055,1054
Montana,602.5,617,635,640,645,625,645,625,647,625,650,650
Delaware,870,895,902.5,915,935,900,910,902.5,902.5,900,924,898
South Dakota,625,622.5,670,697.5,672.5,625,599.5,620,675,635,705,680
Alaska,940,947.5,940,950,950,957.5,902.5,900,922.5,900,895,927
North Dakota,795,795,850,847,900,895,795,690,750,795,873,873
District of Columbia,2100,2100,2137.5,2100,2095,2100,2138.5,2135,2180,2155.5,2150,2150
Wyoming,625,625,600,600,625,700,675,650,650,650,650,650
